regulator,target,lfc_Rest,lfc_Stim48,se_Rest,se_Stim48
ACAD11,CCNG1,-0.2408873361124117,0.2118493078042617,0.0911306257457133,0.0662492521381518
ACTR8,NCAPD2,-0.4219327301145436,0.31015357158925,0.1439987849922359,0.0948113460930066
ACTR8,ASPM,-0.5794969432375644,0.5743600340970958,0.2153418566774528,0.1391197273532909
ACTR8,HMMR,-0.6946069349025531,0.4140514176841942,0.2355020094161048,0.1330054692917409
ACTR8,TRIB3,0.7004082621217464,-1.5048144892499895,0.2508523378170083,0.3352607190276427
ACTR8,COTL1,-0.475711204257752,0.4715115897464356,0.1307463356329388,0.1400333390515188
ACTR8,CD69,-1.736954668862732,0.5284686262516248,0.3861741764683244,0.1977797792182082
ACTR8,CENPF,-0.6149086671166265,0.4203400916600087,0.1980680679804192,0.1332134601818691
ACTR8,SRGN,-0.3926892840960789,0.3530441899587608,0.1429465812569903,0.1193997724109315
ACTR8,TOP2A,-0.6343025093785503,0.5112200926986896,0.2084818717083583,0.1362782887205077
ACTR8,CDCA8,-0.623215462406504,0.5747408594255254,0.2310606742925873,0.1615842037230817
ACTR8,JAML,-0.7089397160435212,0.7565286894505222,0.230703293802218,0.1528824132296942
ACTR8,HOPX,-0.6992925625699479,0.4230292269144711,0.2053265472710436,0.1498308160690095
ACTR8,CFL1,-0.3000091959262765,0.2859366612204302,0.0665589642127319,0.0679861035674532
ACTR8,H2AX,-0.5365933322662608,0.3666431354773554,0.1821560191699137,0.1358901313811622
AHR,POLDIP2,0.1567833666837953,-0.1327480302906159,0.068142476215715,0.0507672091100695
AHR,BLTP2,0.1563947607508388,-0.1813815601767874,0.0537763922625298,0.0536844351036649
AHR,TRAPPC6A,-0.5580117646173709,0.2307012351357891,0.1204720188802991,0.083789257548718
AHR,BAZ1B,0.1538870839647267,-0.1052818076409705,0.0573626654772964,0.0421698856184094
AHR,PTBP1,0.2093923016472556,-0.1519861531450024,0.0735220334493214,0.0469193091034236
AHR,CALCOCO1,-0.4519144752322585,0.408093510627763,0.1396019946006068,0.1656634252744301
AHR,MNAT1,0.1964486139372875,-0.1622512161844934,0.080080357574602,0.0647319796078973
AHR,NSUN2,0.2162083584539312,-0.2307378324718746,0.0714007549227276,0.069744198045297
AHR,CLPTM1L,0.1869485594228032,-0.1782770749821968,0.0677103341202304,0.055621487608778
AHR,SOAT1,0.1803694257278049,-0.2019920575954385,0.052223796231387,0.0777540471502252
AHR,PIGV,-0.3902499878817096,0.5510996105101172,0.1327814169629004,0.1182286782537595
AHR,CTSA,-0.2923001981755689,0.2616476963628349,0.0961065789981438,0.0856829620485973
AHR,PFKP,0.2317468133225514,-0.1302407702237418,0.0908351011022457,0.0410538827092863
AHR,MAPK6,0.2713160509464526,-0.4147966347066364,0.1009234159515743,0.0806819060281573
AHR,VDAC3,0.1491436098280906,-0.1268551789377532,0.0631998442240932,0.0382764599505426
AHR,DDX1,0.262047493231292,-0.1633697998210675,0.0708127253618847,0.0535984505353177
AHR,HSP90AA1,0.2803170576895275,-0.2332639838282194,0.1203179828804616,0.0901529715011625
AHR,CD59,-0.2548533674045858,0.582930880417765,0.1091647214424934,0.1441539265271279
AHR,IPO11,0.4167788811322319,-0.2304414802784823,0.1140178248455053,0.0782773186133884
AHR,DNAJB11,0.2360734248766258,-0.1779846693243298,0.0714409898040281,0.0678136047568368
AHR,PIK3IP1,-0.7697266634692749,0.5745151961500076,0.204438842907179,0.1813615484787979
AHR,DDX17,-0.1226691654755089,0.1567804810130445,0.0454226592757249,0.0518264293964383
AHR,POLR3H,0.2595432287720628,-0.3591381221032431,0.1125505278105513,0.0975790543775165
AHR,KHNYN,-0.1971029076322968,0.1757527947561252,0.069670179536113,0.0668485423207887
AHR,PSMA3,0.2060460692099653,-0.1412681945515013,0.0714472666429883,0.0476220087695895
AHR,AHSA1,0.2267132787766181,-0.2452233328127643,0.0827912496836357,0.0690849788743191
AHR,PSMC1,0.1987165870519597,-0.1380018876855961,0.071837191021662,0.0432350111611641
AHR,MAP1LC3A,-0.6233435594426933,0.8693425254400597,0.2760836211708942,0.2249907353711236
AHR,WDR13,-0.2270552689587693,0.1645435263274547,0.0759899073069614,0.0641023205157659
AHR,TRADD,-0.4773353258174704,0.2095808690144546,0.0946176752006752,0.0825840233079786
AHR,CORO1A,0.1440278769476057,-0.1907037395061195,0.0403693943510001,0.0444217633124328
AHR,USB1,0.1470517001290754,-0.2124477739054316,0.0594703103443666,0.0655793574293236
AHR,AXIN1,-0.3276369907577057,0.2378728178875502,0.0850237561169325,0.0876383819287124
AHR,TLE5,-0.271272851198668,0.1521075576773608,0.0620109380023121,0.0594678674846253
AHR,PPP6R1,0.2516782275216475,-0.1576691413887744,0.0540802991240746,0.0428390051082176
AHR,PRX,-0.8615284572022192,0.5407661998190039,0.3822678187294893,0.2118773222413175
AHR,HBP1,-0.2810879728807444,0.3262942840408973,0.1157503034553275,0.1070738249702802
AHR,PHYH,-0.3957409040236064,0.2875307458635747,0.1400099218674451,0.1029526868795972
AHR,TFAM,0.2790997121335868,-0.1495669098246569,0.0848677496205431,0.0616663518944452
