gene,n_both,n_inv,rate,decile,p_expected,p_naive,p_degree_matched,q_naive,q_degree_matched,enrichment_vs_decile,OR_logistic,p_logistic,sig,direction,logistic_uncalibrated_do_not_use
FUBP1,223,0,0.0,6,0.04823151125401929,1.3118497310864488e-05,2.8403046800009732e-05,0.0001049479784869159,0.00018746010888006422,0.0,1.6327726814523899e-10,1.0975133179590253e-111,True,down,1.1589740637647307e-110
TADA2B,3058,268,0.08763897972531066,9,0.06782668031388604,1.184984651350287e-15,2.935821399135787e-05,3.4759549772941756e-14,0.0001890382559443531,1.2921018590285995,1.1893454455706038,0.3474964942788369,True,up,0.368430018030574
ZNF148,227,0,0.0,6,0.04826418289585097,8.458146453351632e-06,3.0182033770302605e-05,7.392228204193442e-05,0.00018971564084190208,0.0,1.6266522465084913e-10,1.0090267656412514e-111,True,down,1.1099294422053765e-110
ZNF554,212,0,0.0,6,0.04814189189189189,1.8440338886524108e-05,6.625619568450709e-05,0.00013522915183451014,0.00040678222466767147,0.0,1.6503084169258777e-10,1.3970684812472137e-111,True,down,1.3660225149972755e-110
INTS10,393,3,0.007633587786259542,8,0.04225579704290216,2.27129640708379e-06,7.946717410649902e-05,2.322839289429432e-05,0.00046819047931660626,0.18065184709471194,0.14134085626194798,1.0732305831981817e-135,True,down,1.349204161734857e-134
STRAP,394,3,0.007614213197969543,8,0.04225921137685844,2.287644754741107e-06,7.980519533805788e-05,2.322839289429432e-05,0.00046819047931660626,0.18017878114353933,0.14090258162262168,5.852656171577671e-136,True,down,7.725506146482526e-135
DCP2,253,1,0.003952569169960474,6,0.04830753529511822,2.9863577073310566e-05,9.539052008020131e-05,0.00020215344480394845,0.0005456049715174277,0.08182096531759728,0.08003509822902143,1.1261642161795031e-257,True,down,5.946147061427776e-256
SMG8,204,0,0.0,6,0.04807692307692308,2.7218081421485103e-05,9.713421841408751e-05,0.00018909403934926492,0.0005456049715174277,0.0,1.6637641523833788e-10,1.6820607416156375e-111,True,down,1.5859429849518868e-110
NCOR1,579,43,0.07426597582037997,8,0.03961939135427774,0.02464538349708621,0.00010448375492027099,0.055610096095989395,0.0005746606520614904,1.8744855304891352,1.3686238629322685,0.00042996207935716487,True,up,0.0005329107462455001
KMT2E,59,9,0.15254237288135594,0,0.03356164383561644,0.0034814021389640215,0.00014838207388097647,0.011073375478150623,0.0007994462756036283,4.545140089934279,4.9782560190834815,6.34293832540146e-57,True,up,1.5649866522485847e-56
TFAM,157,11,0.07006369426751592,5,0.018169429934135818,0.28428398218481665,0.0001571019154435999,0.4013420924962117,0.0008294981135422074,3.8561305732484072,1.688733487125272,5.320650950284436e-12,True,up,8.072711786638456e-12
TAF13,878,35,0.03986332574031891,9,0.07053032708796443,0.09595693354655857,0.000164404611205835,0.16449760036552896,0.0008510356344772635,0.5651941141659804,0.6439242813728769,1.7584282164305694e-05,True,down,2.2981438076122292e-05
PPP1R11,80,12,0.15,2,0.043691703485517916,0.0009309026806567746,0.00018225792586872648,0.0036704761952265166,0.0009212790427615155,3.4331460674157306,4.580107740510766,8.245397260229883e-63,True,up,2.1341028202947935e-62
