gene,n_both,n_inv,rate,decile,p_expected,enrichment_vs_decile,p_ora_pooled,p_ora_indeg_matched,p_ora_fisher,q_ora_pooled,q_ora_indeg_matched,q_ora_fisher
SPG7,14,0,0.0,5,0.05670604586518416,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SP4,14,0,0.0,5,0.05670604586518416,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPACA6,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TSHR,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPAG1,9,0,0.0,2,0.05435323383084577,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TSG101,10,0,0.0,3,0.05220779220779221,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPAG16,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TSEN54,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TSC22D4,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPAG7,17,0,0.0,6,0.04791915679669673,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPART,24,0,0.0,8,0.04465653352185696,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TSC22D3,17,0,0.0,6,0.04791915679669673,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPATA20,18,0,0.0,7,0.04530963191962129,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPATA24,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPATA33,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPATA5,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPATC1L,17,0,0.0,6,0.04791915679669673,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPATS2,13,0,0.0,5,0.05669816564758199,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPATS2L,24,0,0.0,8,0.04465653352185696,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TRRAP,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TRPT1,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPCS1,15,0,0.0,6,0.04790874524714829,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPCS2,22,0,0.0,7,0.045327147965593895,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPCS3,39,0,0.0,8,0.04469603160563713,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPECC1,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPECC1L,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPEF2,22,0,0.0,7,0.045327147965593895,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SPG21,13,0,0.0,5,0.05669816564758199,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TPGS1,17,0,0.0,6,0.04791915679669673,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TPD52L2,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TPD52,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
SUOX,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
THRA,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM41B,9,0,0.0,2,0.05435323383084577,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM39B,7,0,0.0,1,0.06280566280566281,0.0,1.0,1.0,1.0,1.0,1.0,1.0
THUMPD2,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM33,14,0,0.0,5,0.05670604586518416,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TIAL1,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TICAM1,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM30B,5,0,0.0,0,0.05546240165097382,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TIGAR,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM30A,19,0,0.0,7,0.04531400966183575,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM268,11,0,0.0,4,0.058300012898232945,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM263,14,0,0.0,5,0.05670604586518416,0.0,1.0,1.0,1.0,1.0,1.0,1.0
THOC7,15,0,0.0,6,0.04790874524714829,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TIGD2,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM260,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TIMD4,14,0,0.0,5,0.05670604586518416,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM258,16,0,0.0,6,0.04791395045632334,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM256,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM254,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TIMM17A,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TIMM23,8,0,0.0,2,0.05434647431911454,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TIMM8B,14,0,0.0,5,0.05670604586518416,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TIMM9,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM250,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TIMP1,28,0,0.0,8,0.044667059516794345,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TMEM245,16,0,0.0,6,0.04791395045632334,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TIGD7,12,0,0.0,4,0.058307533539731685,0.0,1.0,1.0,1.0,1.0,1.0,1.0
TIMP2,10,0,0.0,3,0.05220779220779221,0.0,1.0,1.0,1.0,1.0,1.0,1.0
THOC6,18,0,0.0,7,0.04530963191962129,0.0,1.0,1.0,1.0,1.0,1.0,1.0
THEMIS2,6,0,0.0,0,0.05546955624355005,0.0,1.0,1.0,1.0,1.0,1.0,1.0
