gene,n_both,n_inv,rate,decile,p_expected,enrichment_vs_decile,odds_ratio,p_enrichment,q_enrichment,sig_enriched,p_two_sided,q_two_sided,sig_two_sided,direction,shown_in_fig2a,label_rank_fig2a,label_rank_fig2a_two_sided
ARID1A,4,0,0.0,0,0.06553398058252427,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
ARID2,38,0,0.0,4,0.030710172744721688,0.0,0.0,1.0,1.0,False,0.6280639224071687,1.0,False,down,False,0,0
ARL5B,30,0,0.0,4,0.030592734225621414,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
ATF4,11,0,0.0,1,0.0311284046692607,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
ATM,26,0,0.0,3,0.034458509142053444,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
ATP23,19,0,0.0,2,0.05391658189216684,0.0,0.0,1.0,1.0,False,0.6185314560199646,1.0,False,down,False,0,0
ATRX,47,0,0.0,5,0.032418952618453865,0.0,0.0,1.0,1.0,False,0.4029082496875812,0.9002621710636174,False,down,False,0,0
ATXN2L,9,0,0.0,0,0.06633906633906633,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
B4GALNT3,7,0,0.0,0,0.06601466992665037,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
BRD1,10,0,0.0,1,0.031088082901554404,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
BRD9,13,0,0.0,1,0.031209362808842653,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
C11orf68,30,0,0.0,4,0.030592734225621414,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
C16orf87,13,0,0.0,1,0.031209362808842653,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CAP1,22,0,0.0,3,0.034361851332398316,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CARM1,31,0,0.0,4,0.030607364897178385,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CASK,12,0,0.0,1,0.03116883116883117,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CBLL1,35,0,0.0,4,0.030666027791087687,0.0,0.0,1.0,1.0,False,0.6244151854923821,1.0,False,down,False,0,0
CBX3,15,0,0.0,1,0.03129074315514994,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CCDC22,17,0,0.0,2,0.05380710659898477,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
CCDC6,11,0,0.0,1,0.0311284046692607,0.0,0.0,1.0,1.0,False,1.0,1.0,False,down,False,0,0
