display_rank	target	target_ensg	orientation	go_id	go_term
24	IL1RAP	ENSG00000196083	lost_on_activation	GO:0010468	regulation of gene expression
24	IL1RAP	ENSG00000196083	lost_on_activation	GO:0023052	signaling
25	WIPI1	ENSG00000070540	lost_on_activation	GO:0006914	autophagy
25	WIPI1	ENSG00000070540	lost_on_activation	GO:0022607	cellular component assembly
25	WIPI1	ENSG00000070540	lost_on_activation	GO:0006091	generation of precursor metabolites and energy
25	WIPI1	ENSG00000070540	lost_on_activation	GO:0044238	primary metabolic process
25	WIPI1	ENSG00000070540	lost_on_activation	GO:0016192	vesicle-mediated transport
26	PMAIP1	ENSG00000141682	lost_on_activation	GO:0044238	primary metabolic process
26	PMAIP1	ENSG00000141682	lost_on_activation	GO:0012501	programmed cell death
26	PMAIP1	ENSG00000141682	lost_on_activation	GO:0023052	signaling
27	CTLA4	ENSG00000163599	lost_on_activation	GO:0023052	signaling
28	TRUB1	ENSG00000165832	lost_on_activation	GO:0010468	regulation of gene expression
28	TRUB1	ENSG00000165832	lost_on_activation	GO:0016070	RNA metabolic process
29	MAPRE2	ENSG00000166974	lost_on_activation	GO:0022402	cell cycle process
29	MAPRE2	ENSG00000166974	lost_on_activation	GO:0022607	cellular component assembly
30	MAP2K1	ENSG00000169032	lost_on_activation	GO:0010468	regulation of gene expression
30	MAP2K1	ENSG00000169032	lost_on_activation	GO:0023052	signaling
31	SESN2	ENSG00000130766	lost_on_activation	GO:0098754	detoxification
31	SESN2	ENSG00000130766	lost_on_activation	GO:0008152	metabolic process
31	SESN2	ENSG00000130766	lost_on_activation	GO:0010468	regulation of gene expression
31	SESN2	ENSG00000130766	lost_on_activation	GO:0023052	signaling
32	PSAT1	ENSG00000135069	lost_on_activation	GO:0044238	primary metabolic process
33	TRIB3	ENSG00000101255	lost_on_activation	GO:0012501	programmed cell death
33	TRIB3	ENSG00000101255	lost_on_activation	GO:0010468	regulation of gene expression
33	TRIB3	ENSG00000101255	lost_on_activation	GO:0023052	signaling
34	STAP1	ENSG00000035720	lost_on_activation	GO:0010468	regulation of gene expression
34	STAP1	ENSG00000035720	lost_on_activation	GO:0023052	signaling
35	CREM	ENSG00000095794	lost_on_activation	GO:0010468	regulation of gene expression
35	CREM	ENSG00000095794	lost_on_activation	GO:0023052	signaling
37	CPD	ENSG00000108582	lost_on_activation	GO:0044238	primary metabolic process
38	GNPTAB	ENSG00000111670	lost_on_activation	GO:0044238	primary metabolic process
39	NARS1	ENSG00000134440	lost_on_activation	GO:0048870	cell motility
39	NARS1	ENSG00000134440	lost_on_activation	GO:0016070	RNA metabolic process
39	NARS1	ENSG00000134440	lost_on_activation	GO:0006412	translation
41	CREB3L2	ENSG00000182158	lost_on_activation	GO:0010468	regulation of gene expression
41	CREB3L2	ENSG00000182158	lost_on_activation	GO:0016192	vesicle-mediated transport
43	SLC7A5	ENSG00000103257	lost_on_activation	GO:0010468	regulation of gene expression
43	SLC7A5	ENSG00000103257	lost_on_activation	GO:0055085	transmembrane transport
44	TNFSF14	ENSG00000125735	lost_on_activation	GO:0012501	programmed cell death
44	TNFSF14	ENSG00000125735	lost_on_activation	GO:0010468	regulation of gene expression
44	TNFSF14	ENSG00000125735	lost_on_activation	GO:0023052	signaling
45	ADORA2A	ENSG00000128271	lost_on_activation	GO:0012501	programmed cell death
45	ADORA2A	ENSG00000128271	lost_on_activation	GO:0010468	regulation of gene expression
45	ADORA2A	ENSG00000128271	lost_on_activation	GO:0023052	signaling
46	CD68	ENSG00000129226	lost_on_activation	GO:0023052	signaling
47	RHOB	ENSG00000143878	lost_on_activation	GO:0007155	cell adhesion
47	RHOB	ENSG00000143878	lost_on_activation	GO:0022402	cell cycle process
47	RHOB	ENSG00000143878	lost_on_activation	GO:0012501	programmed cell death
47	RHOB	ENSG00000143878	lost_on_activation	GO:0023052	signaling
47	RHOB	ENSG00000143878	lost_on_activation	GO:0016192	vesicle-mediated transport
48	SYTL3	ENSG00000164674	lost_on_activation	GO:0016192	vesicle-mediated transport
49	INSIG1	ENSG00000186480	lost_on_activation	GO:0006629	lipid metabolic process
49	INSIG1	ENSG00000186480	lost_on_activation	GO:0010468	regulation of gene expression
49	INSIG1	ENSG00000186480	lost_on_activation	GO:0023052	signaling
50	FAM3C	ENSG00000196937	lost_on_activation	GO:0023052	signaling
51	TXNRD1	ENSG00000198431	lost_on_activation	GO:0019725	cellular homeostasis
51	TXNRD1	ENSG00000198431	lost_on_activation	GO:0098754	detoxification
51	TXNRD1	ENSG00000198431	lost_on_activation	GO:0008152	metabolic process
51	TXNRD1	ENSG00000198431	lost_on_activation	GO:0023052	signaling
52	SPIN1	ENSG00000106723	lost_on_activation	GO:0022607	cellular component assembly
52	SPIN1	ENSG00000106723	lost_on_activation	GO:0006351	DNA-templated transcription
52	SPIN1	ENSG00000106723	lost_on_activation	GO:0010468	regulation of gene expression
53	TLE5	ENSG00000104964	gained_on_activation	GO:0010468	regulation of gene expression
54	RASSF3	ENSG00000153179	gained_on_activation	GO:0023052	signaling
55	HAPLN3	ENSG00000140511	gained_on_activation	GO:0007155	cell adhesion
56	TRIM22	ENSG00000132274	gained_on_activation	GO:0044238	primary metabolic process
56	TRIM22	ENSG00000132274	gained_on_activation	GO:0010468	regulation of gene expression
57	MPI	ENSG00000178802	gained_on_activation	GO:0044238	primary metabolic process
58	FBXL8	ENSG00000135722	gained_on_activation	GO:0044238	primary metabolic process
59	CALM3	ENSG00000160014	gained_on_activation	GO:0023052	signaling
62	SPSB1	ENSG00000171621	gained_on_activation	GO:0044238	primary metabolic process
63	CCR7	ENSG00000126353	gained_on_activation	GO:0048870	cell motility
63	CCR7	ENSG00000126353	gained_on_activation	GO:0010468	regulation of gene expression
