display_rank	regulator	regulator_ensg	lost_on_activation	gained_on_activation	total_reversals	out_degree	reversal_rate	fold_vs_degree_decile	p_two_sided	q_two_sided	q_one_sided_enrichment	functional_annotation	functional_annotation_source	all_lost	all_gained	all_total	dense_lost	dense_gained	dense_total
22	YEATS2	ENSG00000163872	7	7	14	89	0.1573033707865168	4.020894933964124	1.3504439380764684e-05	0.0002192694499455	0.0003471766290804	other / unclassified		1	2	3	0	0	0
23	ACTR8	ENSG00000113812	1	13	14	151	0.0927152317880794	2.3242228789611064	0.0051643458576724	0.0318640139418393	0.0479236754648437	other / unclassified		1	7	8	1	2	3
24	ATP5ME	ENSG00000169020	11	1	12	35	0.3428571428571428	13.76043956043956	9.55294307693676e-11	3.929443918979987e-09	4.533973752669216e-09	metabolic / mitochondrial	scripts/fig4_architecture.py:FIG2_CLASS	5	1	6	5	0	5
25	PPP1R11	ENSG00000204619	4	8	12	80	0.15	3.797687861271676	9.203862490173722e-05	0.0011357566312874	0.0018929277188123	other / unclassified		2	3	5	2	1	3
26	BATF	ENSG00000156127	4	8	12	81	0.1481481481481481	3.7499464782701777	0.0001041821032608	0.0012603991708227	0.0020735599261922	other / unclassified		2	4	6	2	3	5
27	CYB5R4	ENSG00000065615	2	9	11	61	0.180327868852459	4.558978707367628	3.162159547341096e-05	0.0004877631101773	0.0007804209762837	other / unclassified		0	2	2	0	1	1
28	MCAT	ENSG00000100294	10	0	10	18	0.5555555555555556	12.713178294573645	2.300146235884639e-09	6.450864670640103e-08	8.86993892213014e-08	other / unclassified		1	0	1	0	0	0
29	GSS	ENSG00000100983	1	9	10	26	0.3846153846153846	14.023668639053254	2.701278955620057e-09	7.246474415728588e-08	9.804053621279857e-08	other / unclassified		1	3	4	0	1	1
30	EIF1	ENSG00000173812	6	4	10	51	0.196078431372549	6.785282014040184	2.874833708978607e-06	4.927145551221668e-05	7.712053906260003e-05	other / unclassified		2	1	3	1	0	1
31	NUP188	ENSG00000095319	7	3	10	64	0.15625	3.925	0.0002541088958326	0.0027031929091158	0.0044795768208204	other / unclassified		1	1	2	1	0	1
32	ATP5PO	ENSG00000241837	9	1	10	84	0.119047619047619	2.9768707482993193	0.002254531899145	0.0183032392338486	0.0356678508146793	other / unclassified		4	1	5	3	0	3
