term_index	library	term_id	term_name	source_term	universe_targets	member_targets_n	member_targets	observed_es	observed_nes	pooled_null_es_mean	pooled_observed_z	pooled_marginal_p	bh_q_within_library	pooled_library_maxT_p	pooled_global_maxT_p	bank_A_observed_nes	bank_A_marginal_p	bank_A_bh_q_within_library	bank_A_library_maxT_p	bank_A_global_maxT_p	bank_B_observed_nes	bank_B_marginal_p	bank_B_bh_q_within_library	bank_B_library_maxT_p	bank_B_global_maxT_p	nondegenerate_null	direction	statement_eligible	global_familywise_supported	global_familywise_stable	peak_target_rank	peak_score	peak_score_tie_size	n_leading_edge	leading_edge_targets	n_leading_edge_tie_expanded	leading_edge_targets_tie_expanded	zero_weight_observed	zero_weight_null_draws_A	zero_weight_null_draws_B	status
10	KEGG_Legacy_v2026.1	hsa00240	Pyrimidine Metabolism	KEGG_PYRIMIDINE_METABOLISM	9554	65	POLA2|TYMP|CTPS2|POLR2B|RRM2B|POLD1|POLR1H|NT5C2|POLD3|CAD|UPRT|POLR3H|POLE2|POLR2C|NME3|NME4|POLR2I|POLR3G|POLE4|POLR3GL|NT5C|ITPA|DUT|DCTD|UCK1|CMPK2|NT5E|PNPT1|ENTPD1|NME7|UCK2|PRIM2|POLR2K|AK3|POLE3|DCK|POLR3K|CMPK1|NUDT2|TK2|RRM1|TK1|POLR2G|DTYMK|CANT1|CTPS1|RRM2|POLD4|TYMS|POLE|POLR2L|UPP1|TXNRD2|POLR1D|ENTPD5|DPYD|ENTPD4|ENTPD6|PRIM1|UCKL1|TXNRD1|PNP|NT5M|NME1|NME2	0.2657873890620534	1.0171957640511604	0.26129423504823551	0.054838039324187474	0.4846757662116894	0.74206471494607096	1	1	1.0163483397473922	0.48685131486851313	0.74355473543554729	1	1	1.0180446026873977	0.48255174482551744	0.735494018165751	1	1	True	high_burden	False	False	False	1857	0.56717302816359905	1	15	TXNRD1|TK1|UCK1|CAD|ITPA|DTYMK|POLR3H|DCK|CMPK2|NT5C|POLR2I|CTPS1|POLR3K|CANT1|ENTPD1	15	TXNRD1|TK1|UCK1|CAD|ITPA|DTYMK|POLR3H|DCK|CMPK2|NT5C|POLR2I|CTPS1|POLR3K|CANT1|ENTPD1	False	0	0	NOT_SUPPORTED
11	KEGG_Legacy_v2026.1	hsa00250	Alanine Aspartate And Glutamate Metabolism	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	9554	19	ADSS2|CAD|IL4I1|ALDH5A1|NIT2|GLS|GOT1|GOT2|ASL|PPAT|GAD1|ASS1|GLS2|GLUL|GLUD1|GPT2|ABAT|GFPT1|ADSL	0.45225203573725492	1.4956887856835583	0.30237041292688915	1.0652712030690517	0.15024248787560621	0.40266294377588813	1	1	1.499346608717063	0.15248475152484753	0.40677778376008555	1	1	1.4920487665487849	0.14808519148085192	0.40115391445930038	1	1	True	high_burden	False	False	False	1357	1.0906174645043722	1	6	CAD|ADSS2|GLUL|ASS1|GPT2|GOT2	6	CAD|ADSS2|GLUL|ASS1|GPT2|GOT2	False	0	0	NOT_SUPPORTED
12	KEGG_Legacy_v2026.1	hsa00260	Glycine Serine And Threonine Metabolism	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	9554	17	CHDH|ALAS1|DLD|PHGDH|GCAT|CTH|GAMT|AOC2|PSAT1|AMT|PSPH|CBS|SRR|GLYCTK|SHMT1|GLDC|SHMT2	0.55056289646260859	1.8379355499129166	0.2995550613778023	1.631110678676204	0.045347732613369329	0.26038698065096744	0.99630018499075046	1	1.8353130483931177	0.044495550444955505	0.25655616256556169	0.99680031996800322	1	1.8405655568069614	0.046295370462953706	0.26142385761423859	0.99630036996300375	1	True	high_burden	False	False	False	626	2.2009178687324185	1	4	CTH|PSAT1|ALAS1|PSPH	4	CTH|PSAT1|ALAS1|PSPH	False	0	0	NOT_SUPPORTED
13	KEGG_Legacy_v2026.1	hsa00270	Cysteine And Methionine Metabolism	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	9554	23	DNMT3B|MTAP|AHCY|SMS|IL4I1|TRDMT1|LDHB|SRM|CTH|MTR|DNMT3A|GOT1|AMD1|GOT2|MPST|CDO1|DNMT1|ENOPH1|APIP|AHCYL2|CBS|AHCYL1|ADI1	0.22200089831320141	0.79254335316099822	0.28011199315187985	-0.44725346038512387	0.67096645167741609	0.84753657053989406	1	1	0.79293727544564896	0.67203279672032801	0.85014656429093938	1	1	0.79214982207430107	0.66993300669933009	0.84749419794862613	1	1	True	high_burden	False	False	False	1357	1.0906174645043722	1	4	CTH|ENOPH1|SRM|GOT2	4	CTH|ENOPH1|SRM|GOT2	False	0	0	NOT_SUPPORTED
14	KEGG_Legacy_v2026.1	hsa00280	Valine Leucine And Isoleucine Degradation	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	9554	37	ACAA1|BCAT1|ALDH3A2|HSD17B10|ACAT1|MCCC1|BCKDHB|OXCT1|HADHA|DLD|IL4I1|BCAT2|HIBADH|HMGCS1|EHHADH|PCCB|ACADM|ACAT2|ACADS|MCEE|ECHS1|IVD|MCCC2|ALDH1B1|HADHB|HADH|ALDH9A1|MMUT|AUH|ACAD8|ALDH7A1|ACAA2|PCCA|ABAT|ACADSB|HIBCH|BCKDHA	0.019859199327519228	0.071600792547995992	0.27736004897162359	-2.3993536639536237	0.98980050997450131	0.98980050997450131	1	1	0.071820416873491957	0.98960103989601045	0.98960103989601034	1	1	0.071382507334569453	0.99000099990001	0.99010098990101003	1	1	True	high_burden	False	False	False	9365	-1.2561101171991951	1	37	HMGCS1|ACAT2|IVD|ACADM|DLD|OXCT1|EHHADH|ACADSB|ACAD8|MMUT|PCCB|MCCC1|ABAT|ALDH1B1|HSD17B10|BCKDHB|BCAT1|ACADS|HADHA|MCCC2|AUH|ALDH9A1|HIBADH|ALDH7A1|MCEE|BCKDHA|HIBCH|PCCA|HADH|ACAA2|BCAT2|ACAT1|IL4I1|ECHS1|ACAA1|ALDH3A2|HADHB	37	HMGCS1|ACAT2|IVD|ACADM|DLD|OXCT1|EHHADH|ACADSB|ACAD8|MMUT|PCCB|MCCC1|ABAT|ALDH1B1|HSD17B10|BCKDHB|BCAT1|ACADS|HADHA|MCCC2|AUH|ALDH9A1|HIBADH|ALDH7A1|MCEE|BCKDHA|HIBCH|PCCA|HADH|ACAA2|BCAT2|ACAT1|IL4I1|ECHS1|ACAA1|ALDH3A2|HADHB	False	0	0	NOT_SUPPORTED
15	KEGG_Legacy_v2026.1	hsa00290	Valine Leucine And Isoleucine Biosynthesis	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	9554	10	LARS2|BCAT1|IARS2|BCAT2|PDHA1|LARS1|VARS2|PDHB|IARS1|VARS1	0.21405297623321135	0.71130284776179431	0.30093085794153152	-0.45568746847599034	0.64016799160041993	0.84022048897555113	1	1	0.71195872025713103	0.63933606639336071	0.83912858714128591	1	1	0.71064818256345019	0.64103589641035896	0.84135961403859616	1	1	True	high_burden	False	False	False	1340	1.1114435895189447	1	2	IARS2|IARS1	2	IARS2|IARS1	False	0	0	NOT_SUPPORTED
16	KEGG_Legacy_v2026.1	hsa00310	Lysine Degradation	KEGG_LYSINE_DEGRADATION	9554	35	AASS|ALDH3A2|ACAT1|PLOD1|HADHA|SUV39H1|DOT1L|GCDH|OGDH|PLOD3|NSD2|KMT5B|EHHADH|ASH1L|DLST|ACAT2|ECHS1|KMT5C|SETDB2|ALDH1B1|HADH|SETD1B|ALDH9A1|SETDB1|SETD7|NSD3|AASDHPPT|SUV39H2|AASDH|ALDH7A1|NSD1|EHMT1|KMT5A|TMLHE|EHMT2	0.34983641517615482	1.1556338388102114	0.30272254361842732	0.37317169349559853	0.37248137593120345	0.63208960764083011	1	1	1.1536770489282562	0.37456254374562542	0.63562128635621284	1	1	1.1575972779225052	0.37046295370462956	0.62866440628664411	1	1	True	high_burden	False	False	False	1028	1.5109429191885502	1	4	SUV39H1|SUV39H2|SETD7|ACAT2	4	SUV39H1|SUV39H2|SETD7|ACAT2	False	0	0	NOT_SUPPORTED
17	KEGG_Legacy_v2026.1	hsa00330	Arginine And Proline Metabolism	KEGG_ARGININE_AND_PROLINE_METABOLISM	9554	32	LAP3|ALDH18A1|OAT|ALDH3A2|P4HA2|ARG2|SMS|PYCR3|GLS|ODC1|SRM|AGMAT|GOT1|P4HA1|AMD1|GOT2|ASL|GAMT|SAT1|ASS1|GLS2|GLUL|ALDH1B1|SAT2|AZIN2|ALDH9A1|PYCR2|GLUD1|ALDH7A1|CKB|PYCR1|ACY1	0.33315571657217891	1.1959585757828517	0.27856793982525818	0.49017930313153263	0.32338383080845956	0.59052699538936093	1	1	1.1962933866199588	0.32346765323467652	0.59068006242853965	1	1	1.1956239523026602	0.32336766323367661	0.59049747199193126	1	1	True	high_burden	False	False	False	1556	0.87648576988834825	1	9	P4HA1|GLUL|ASS1|SRM|AZIN2|LAP3|GOT2|ACY1|ODC1	9	P4HA1|GLUL|ASS1|SRM|AZIN2|LAP3|GOT2|ACY1|ODC1	False	0	0	NOT_SUPPORTED
18	KEGG_Legacy_v2026.1	hsa00340	Histidine Metabolism	KEGG_HISTIDINE_METABOLISM	9554	10	TRMT11|BUD23|ALDH3A2|HEMK1|ALDH1B1|AMDHD1|ALDH9A1|ALDH7A1|LCMT2|LCMT1	0.25831161600444552	0.78633882238217723	0.32849912614247173	-0.37194022789875564	0.6304184790760462	0.83393940539193512	1	1	0.78897724463886698	0.62863713628637141	0.83158298343394021	1	1	0.783717987629869	0.63223677632236774	0.83634471198549432	1	1	True	high_burden	False	False	False	590	2.293567548052089	1	1	LCMT2	1	LCMT2	False	0	0	NOT_SUPPORTED
19	KEGG_Legacy_v2026.1	hsa00350	Tyrosine Metabolism	KEGG_TYROSINE_METABOLISM	9554	15	TRMT11|BUD23|COMT|GSTZ1|FAH|IL4I1|HEMK1|GOT1|GOT2|AOC2|LCMT2|ADH5|LCMT1|MIF|NAA80	0.47241741953687982	1.5342736697873529	0.30790948762247605	0.94627845646264841	0.19229038548072597	0.43073046347682614	1	1	1.5362725859680031	0.19358064193580643	0.43429257074292577	1	1	1.5322799486140708	0.19108089191080893	0.42802119788021203	1	1	True	high_burden	False	False	False	590	2.293567548052089	1	2	MIF|LCMT2	2	MIF|LCMT2	False	0	0	NOT_SUPPORTED
