display_rank,regulator,regulator_ensg,target,target_ensg,direction,lfc_Rest,lfc_Stim48,programme_order,programme,programme_label,programme_source_terms,programme_memberships_on_edge,is_unclassified_complement
1,CCNC,ENSG00000112237,CASP10,ENSG00000003400,lost_on_activation,0.3320237800880865,-0.2018479180903955,3,stress_survival,Stress/survival,KEGG_APOPTOSIS,1,False
1,CCNC,ENSG00000112237,FKBP4,ENSG00000004478,gained_on_activation,-0.4074621539315616,0.2892599448728125,7,unclassified,Outside six programmes,,0,True
1,CCNC,ENSG00000112237,TSPOAP1,ENSG00000005379,gained_on_activation,-1.0542298172993672,0.6312814785322903,7,unclassified,Outside six programmes,,0,True
1,CCNC,ENSG00000112237,RHBDD2,ENSG00000005486,lost_on_activation,0.2796489612222155,-0.5644848076820207,7,unclassified,Outside six programmes,,0,True
1,CCNC,ENSG00000112237,KDM7A,ENSG00000006459,lost_on_activation,0.3425697927032642,-0.3648235788902433,7,unclassified,Outside six programmes,,0,True
1,CCNC,ENSG00000112237,GGCT,ENSG00000006625,gained_on_activation,-0.2365675973892539,0.1309251864381362,7,unclassified,Outside six programmes,,0,True
1,CCNC,ENSG00000112237,RANBP9,ENSG00000010017,lost_on_activation,0.215754955163045,-0.1186411783482383,7,unclassified,Outside six programmes,,0,True
1,CCNC,ENSG00000112237,CALCOCO1,ENSG00000012822,lost_on_activation,0.3331536937530752,-0.4027718279335624,7,unclassified,Outside six programmes,,0,True
1,CCNC,ENSG00000112237,RUNX3,ENSG00000020633,lost_on_activation,0.334410452247477,-0.4064489484694224,7,unclassified,Outside six programmes,,0,True
1,CCNC,ENSG00000112237,SH2D2A,ENSG00000027869,lost_on_activation,0.2488977984491605,-0.4723780703491718,7,unclassified,Outside six programmes,,0,True
1,CCNC,ENSG00000112237,TNFRSF1B,ENSG00000028137,lost_on_activation,0.5181575885476285,-0.5565326266887611,1,tcr_cytokine_signalling,TCR/cytokine signalling,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,1,False
1,CCNC,ENSG00000112237,RABEP1,ENSG00000029725,gained_on_activation,-0.1231349411399103,0.1399353756805522,6,synapse_trafficking,Synapse/trafficking,KEGG_ENDOCYTOSIS,1,False
1,CCNC,ENSG00000112237,CHPF2,ENSG00000033100,lost_on_activation,0.2668220377953372,-0.4265228618089013,7,unclassified,Outside six programmes,,0,True
