null_model	normalization	bin_left	bin_right	bin_midpoint	count	total_draws
target_conditioned	raw_tmm	-0.314898825241568	-0.312454104464431	-0.313676464852999	1	100000
target_conditioned	raw_tmm	-0.312454104464431	-0.310009383687294	-0.311231744075862	1	100000
target_conditioned	raw_tmm	-0.310009383687294	-0.307564662910157	-0.308787023298725	0	100000
target_conditioned	raw_tmm	-0.307564662910157	-0.30511994213302	-0.306342302521588	0	100000
target_conditioned	raw_tmm	-0.30511994213302	-0.302675221355883	-0.303897581744451	0	100000
target_conditioned	raw_tmm	-0.302675221355883	-0.300230500578746	-0.301452860967314	1	100000
target_conditioned	raw_tmm	-0.300230500578746	-0.297785779801608	-0.299008140190177	1	100000
target_conditioned	raw_tmm	-0.297785779801608	-0.295341059024471	-0.29656341941304	1	100000
target_conditioned	raw_tmm	-0.295341059024471	-0.292896338247334	-0.294118698635903	7	100000
target_conditioned	raw_tmm	-0.292896338247334	-0.290451617470197	-0.291673977858766	2	100000
target_conditioned	raw_tmm	-0.290451617470197	-0.28800689669306	-0.289229257081629	11	100000
target_conditioned	raw_tmm	-0.28800689669306	-0.285562175915923	-0.286784536304492	17	100000
target_conditioned	raw_tmm	-0.285562175915923	-0.283117455138786	-0.284339815527355	23	100000
target_conditioned	raw_tmm	-0.283117455138786	-0.280672734361649	-0.281895094750218	44	100000
target_conditioned	raw_tmm	-0.280672734361649	-0.278228013584512	-0.27945037397308	38	100000
target_conditioned	raw_tmm	-0.278228013584512	-0.275783292807375	-0.277005653195943	62	100000
target_conditioned	raw_tmm	-0.275783292807375	-0.273338572030238	-0.274560932418806	108	100000
target_conditioned	raw_tmm	-0.273338572030238	-0.270893851253101	-0.272116211641669	131	100000
target_conditioned	raw_tmm	-0.270893851253101	-0.268449130475964	-0.269671490864532	189	100000
target_conditioned	raw_tmm	-0.268449130475964	-0.266004409698827	-0.267226770087395	251	100000
target_conditioned	raw_tmm	-0.266004409698827	-0.26355968892169	-0.264782049310258	316	100000
target_conditioned	raw_tmm	-0.26355968892169	-0.261114968144552	-0.262337328533121	382	100000
target_conditioned	raw_tmm	-0.261114968144552	-0.258670247367415	-0.259892607755984	524	100000
target_conditioned	raw_tmm	-0.258670247367415	-0.256225526590278	-0.257447886978847	654	100000
target_conditioned	raw_tmm	-0.256225526590278	-0.253780805813141	-0.25500316620171	787	100000
target_conditioned	raw_tmm	-0.253780805813141	-0.251336085036004	-0.252558445424573	981	100000
target_conditioned	raw_tmm	-0.251336085036004	-0.248891364258867	-0.250113724647436	1075	100000
target_conditioned	raw_tmm	-0.248891364258867	-0.24644664348173	-0.247669003870299	1349	100000
target_conditioned	raw_tmm	-0.24644664348173	-0.244001922704593	-0.245224283093162	1581	100000
target_conditioned	raw_tmm	-0.244001922704593	-0.241557201927456	-0.242779562316024	1904	100000
target_conditioned	raw_tmm	-0.241557201927456	-0.239112481150319	-0.240334841538887	2192	100000
target_conditioned	raw_tmm	-0.239112481150319	-0.236667760373182	-0.23789012076175	2561	100000
target_conditioned	raw_tmm	-0.236667760373182	-0.234223039596045	-0.235445399984613	2758	100000
target_conditioned	raw_tmm	-0.234223039596045	-0.231778318818908	-0.233000679207476	3065	100000
target_conditioned	raw_tmm	-0.231778318818908	-0.229333598041771	-0.230555958430339	3375	100000
target_conditioned	raw_tmm	-0.229333598041771	-0.226888877264634	-0.228111237653202	3620	100000
target_conditioned	raw_tmm	-0.226888877264634	-0.224444156487497	-0.225666516876065	3856	100000
target_conditioned	raw_tmm	-0.224444156487497	-0.221999435710359	-0.223221796098928	3929	100000
target_conditioned	raw_tmm	-0.221999435710359	-0.219554714933222	-0.220777075321791	4146	100000
target_conditioned	raw_tmm	-0.219554714933222	-0.217109994156085	-0.218332354544654	4258	100000
target_conditioned	raw_tmm	-0.217109994156085	-0.214665273378948	-0.215887633767517	4361	100000
target_conditioned	raw_tmm	-0.214665273378948	-0.212220552601811	-0.21344291299038	4406	100000
target_conditioned	raw_tmm	-0.212220552601811	-0.209775831824674	-0.210998192213243	4344	100000
target_conditioned	raw_tmm	-0.209775831824674	-0.207331111047537	-0.208553471436106	4295	100000
target_conditioned	raw_tmm	-0.207331111047537	-0.2048863902704	-0.206108750658969	4238	100000
target_conditioned	raw_tmm	-0.2048863902704	-0.202441669493263	-0.203664029881832	3966	100000
target_conditioned	raw_tmm	-0.202441669493263	-0.199996948716126	-0.201219309104694	3695	100000
target_conditioned	raw_tmm	-0.199996948716126	-0.197552227938989	-0.198774588327557	3463	100000
target_conditioned	raw_tmm	-0.197552227938989	-0.195107507161852	-0.19632986755042	3174	100000
target_conditioned	raw_tmm	-0.195107507161852	-0.192662786384715	-0.193885146773283	2980	100000
target_conditioned	raw_tmm	-0.192662786384715	-0.190218065607578	-0.191440425996146	2620	100000
target_conditioned	raw_tmm	-0.190218065607578	-0.187773344830441	-0.188995705219009	2317	100000
target_conditioned	raw_tmm	-0.187773344830441	-0.185328624053304	-0.186550984441872	2024	100000
target_conditioned	raw_tmm	-0.185328624053304	-0.182883903276166	-0.184106263664735	1758	100000
target_conditioned	raw_tmm	-0.182883903276166	-0.180439182499029	-0.181661542887598	1592	100000
target_conditioned	raw_tmm	-0.180439182499029	-0.177994461721892	-0.179216822110461	1313	100000
target_conditioned	raw_tmm	-0.177994461721892	-0.175549740944755	-0.176772101333324	1109	100000
target_conditioned	raw_tmm	-0.175549740944755	-0.173105020167618	-0.174327380556187	865	100000
target_conditioned	raw_tmm	-0.173105020167618	-0.170660299390481	-0.17188265977905	706	100000
target_conditioned	raw_tmm	-0.170660299390481	-0.168215578613344	-0.169437939001913	554	100000
target_conditioned	raw_tmm	-0.168215578613344	-0.165770857836207	-0.166993218224776	477	100000
target_conditioned	raw_tmm	-0.165770857836207	-0.16332613705907	-0.164548497447638	391	100000
target_conditioned	raw_tmm	-0.16332613705907	-0.160881416281933	-0.162103776670501	286	100000
target_conditioned	raw_tmm	-0.160881416281933	-0.158436695504796	-0.159659055893364	236	100000
target_conditioned	raw_tmm	-0.158436695504796	-0.155991974727659	-0.157214335116227	167	100000
target_conditioned	raw_tmm	-0.155991974727659	-0.153547253950522	-0.15476961433909	130	100000
target_conditioned	raw_tmm	-0.153547253950522	-0.151102533173385	-0.152324893561953	97	100000
target_conditioned	raw_tmm	-0.151102533173385	-0.148657812396248	-0.149880172784816	67	100000
target_conditioned	raw_tmm	-0.148657812396248	-0.146213091619111	-0.147435452007679	56	100000
target_conditioned	raw_tmm	-0.146213091619111	-0.143768370841973	-0.144990731230542	41	100000
target_conditioned	raw_tmm	-0.143768370841973	-0.141323650064836	-0.142546010453405	20	100000
target_conditioned	raw_tmm	-0.141323650064836	-0.138878929287699	-0.140101289676268	17	100000
target_conditioned	raw_tmm	-0.138878929287699	-0.136434208510562	-0.137656568899131	11	100000
target_conditioned	raw_tmm	-0.136434208510562	-0.133989487733425	-0.135211848121994	7	100000
target_conditioned	raw_tmm	-0.133989487733425	-0.131544766956288	-0.132767127344857	7	100000
target_conditioned	raw_tmm	-0.131544766956288	-0.129100046179151	-0.13032240656772	4	100000
target_conditioned	raw_tmm	-0.129100046179151	-0.126655325402014	-0.127877685790583	2	100000
target_conditioned	raw_tmm	-0.126655325402014	-0.124210604624877	-0.125432965013445	2	100000
target_conditioned	raw_tmm	-0.124210604624877	-0.12176588384774	-0.122988244236308	0	100000
target_conditioned	raw_tmm	-0.12176588384774	-0.119321163070603	-0.120543523459171	1	100000
target_conditioned	author_normalized	-0.318869572718698	-0.316426996674638	-0.317648284696668	2	100000
target_conditioned	author_normalized	-0.316426996674638	-0.313984420630577	-0.315205708652608	0	100000
target_conditioned	author_normalized	-0.313984420630577	-0.311541844586517	-0.312763132608547	0	100000
target_conditioned	author_normalized	-0.311541844586517	-0.309099268542457	-0.310320556564487	0	100000
target_conditioned	author_normalized	-0.309099268542457	-0.306656692498396	-0.307877980520427	1	100000
target_conditioned	author_normalized	-0.306656692498396	-0.304214116454336	-0.305435404476366	1	100000
target_conditioned	author_normalized	-0.304214116454336	-0.301771540410276	-0.302992828432306	2	100000
target_conditioned	author_normalized	-0.301771540410276	-0.299328964366216	-0.300550252388246	2	100000
target_conditioned	author_normalized	-0.299328964366216	-0.296886388322155	-0.298107676344185	5	100000
target_conditioned	author_normalized	-0.296886388322155	-0.294443812278095	-0.295665100300125	7	100000
target_conditioned	author_normalized	-0.294443812278095	-0.292001236234035	-0.293222524256065	14	100000
target_conditioned	author_normalized	-0.292001236234035	-0.289558660189974	-0.290779948212005	27	100000
target_conditioned	author_normalized	-0.289558660189974	-0.287116084145914	-0.288337372167944	27	100000
target_conditioned	author_normalized	-0.287116084145914	-0.284673508101854	-0.285894796123884	39	100000
target_conditioned	author_normalized	-0.284673508101854	-0.282230932057793	-0.283452220079824	55	100000
target_conditioned	author_normalized	-0.282230932057793	-0.279788356013733	-0.281009644035763	82	100000
target_conditioned	author_normalized	-0.279788356013733	-0.277345779969673	-0.278567067991703	114	100000
target_conditioned	author_normalized	-0.277345779969673	-0.274903203925613	-0.276124491947643	172	100000
target_conditioned	author_normalized	-0.274903203925613	-0.272460627881552	-0.273681915903582	208	100000
target_conditioned	author_normalized	-0.272460627881552	-0.270018051837492	-0.271239339859522	287	100000
target_conditioned	author_normalized	-0.270018051837492	-0.267575475793432	-0.268796763815462	378	100000
target_conditioned	author_normalized	-0.267575475793432	-0.265132899749371	-0.266354187771402	431	100000
target_conditioned	author_normalized	-0.265132899749371	-0.262690323705311	-0.263911611727341	614	100000
target_conditioned	author_normalized	-0.262690323705311	-0.260247747661251	-0.261469035683281	730	100000
target_conditioned	author_normalized	-0.260247747661251	-0.257805171617191	-0.259026459639221	901	100000
target_conditioned	author_normalized	-0.257805171617191	-0.25536259557313	-0.25658388359516	1023	100000
