"regulator_ensg"	"regulator_symbol"	"paired_donor_set"	"paired_donors"	"case_guide_A"	"case_guide_B"	"cal_guide_A"	"cal_guide_B"	"distance_A"	"distance_B"	"total_score"	"feasible_unordered_pairs"	"feasible_ordered_pairs"	"cal_selection_status"	"target_or_expression_values_used"	"methods_config_sha256"	"amendment_sha256"	"case_support_sha256"	"ntc_support_sha256"
"ENSG00000173193"	"PARP14"	"D1,D2,D3,D4"	4	"PARP14-1"	"PARP14-2"	"NTC-290"	"NTC-302"	0.534585906343895	0.892692087538659	1.42727799388255	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000173812"	"EIF1"	"D1,D2,D4"	3	"EIF1-1"	"EIF1-2"	"NTC-977"	"NTC-158"	0.404856150498429	0.469161827264974	0.874017977763403	17174	34348	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000173917"	"HOXB2"	"D1,D3,D4"	3	"HOXB2-1"	"HOXB2-2"	"NTC-669"	"NTC-112"	0.457368487951824	0.48882843013378	0.946196918085604	15589	31178	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000174744"	"BRMS1"	"D1,D2,D4"	3	"BRMS1-1"	"BRMS1-2"	"NTC-203"	"NTC-577"	0.408029714413008	0.520547907095352	0.92857762150836	17174	34348	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000176208"	"ATAD5"	"D1,D2,D3,D4"	4	"ATAD5-1"	"ATAD5-2"	"NTC-526"	"NTC-029"	0.666771333331084	0.526476025641383	1.19324735897247	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000176396"	"EID2"	"D1,D2,D4"	3	"EID2-1"	"EID2-2"	"NTC-964"	"NTC-165"	0.532190371222661	0.455853627140956	0.988043998363617	17174	34348	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000176476"	"SGF29"	"D1,D2,D3,D4"	4	"SGF29-1"	"SGF29-2"	"NTC-884"	"NTC-302"	0.477903469009842	0.461799992116502	0.939703461126344	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000177565"	"TBL1XR1"	"D1,D2,D3,D4"	4	"TBL1XR1-1"	"TBL1XR1-2"	"NTC-530"	"NTC-882"	0.542688142990275	0.464808363602263	1.00749650659254	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000179151"	"EDC3"	"D1,D2,D3,D4"	4	"EDC3-1"	"EDC3-2"	"NTC-946"	"NTC-083"	0.925915739846521	0.555979604140857	1.48189534398738	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000180008"	"SOCS4"	"D2,D3,D4"	3	"SOCS4-1"	"SOCS4-2"	"NTC-273"	"NTC-656"	0.538497865806438	0.580927552708404	1.11942541851484	11591	23182	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000182831"	"HAPSTR1"	"D1,D2,D3,D4"	4	"C16orf72-1"	"C16orf72-2"	"NTC-030"	"NTC-805"	0.529230295594593	0.640390869519544	1.16962116511414	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000182872"	"RBM10"	"D1,D2,D3,D4"	4	"RBM10-1"	"RBM10-2"	"NTC-805"	"NTC-188"	0.566443421087803	0.51051977556604	1.07696319665384	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000182919"	"C11orf54"	"D1,D3,D4"	3	"C11orf54-1"	"C11orf54-2"	"NTC-895"	"NTC-669"	0.467733172998376	0.528164127491024	0.9958973004894	15589	31178	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000182944"	"EWSR1"	"D1,D2,D3,D4"	4	"EWSR1-1"	"EWSR1-2"	"NTC-944"	"NTC-485"	0.590357569977489	0.536296904615646	1.12665447459313	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000185651"	"UBE2L3"	"D1,D2,D3,D4"	4	"UBE2L3-1"	"UBE2L3-2"	"NTC-575"	"NTC-725"	0.649808421575235	0.543936547868919	1.19374496944415	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000185813"	"PCYT2"	"D1,D2,D3,D4"	4	"PCYT2-1"	"PCYT2-2"	"NTC-447"	"NTC-944"	0.597434597471072	0.558402482400874	1.15583707987195	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000186517"	"ARHGAP30"	"D1,D2,D3,D4"	4	"ARHGAP30-1"	"ARHGAP30-2"	"NTC-526"	"NTC-882"	0.540431182414607	0.561289087684685	1.10172027009929	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000197223"	"C1D"	"D1,D2,D4"	3	"C1D-1"	"C1D-2"	"NTC-656"	"NTC-081"	0.505288903688298	0.496740028143154	1.00202893183145	17174	34348	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000197780"	"TAF13"	"D1,D3,D4"	3	"TAF13-1"	"TAF13-2"	"NTC-895"	"NTC-785"	0.598003404760057	0.568558926104328	1.16656233086439	15589	31178	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000198492"	"YTHDF2"	"D1,D2,D3,D4"	4	"YTHDF2-1"	"YTHDF2-2"	"NTC-890"	"NTC-831"	0.531858134832835	0.57348972110324	1.10534785593608	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000204371"	"EHMT2"	"D2,D3,D4"	3	"EHMT2-1"	"EHMT2-2"	"NTC-083"	"NTC-805"	0.494844588240087	0.558928239628663	1.05377282786875	11591	23182	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000213903"	"LTB4R"	"D1,D2,D4"	3	"LTB4R-1"	"LTB4R-2"	"NTC-809"	"NTC-203"	0.465383119751482	0.438780767704072	0.904163887455554	17174	34348	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000232119"	"MCTS1"	"D1,D2,D3,D4"	4	"MCTS1-1"	"MCTS1-2"	"NTC-633"	"NTC-803"	0.525947029260956	0.42925006970488	0.955197098965837	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000240303"	"ACAD11"	"D1,D3,D4"	3	"ACAD11-1"	"ACAD11-2"	"NTC-112"	"NTC-553"	0.466251873112071	0.458700374492729	0.924952247604801	15589	31178	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000241837"	"ATP5PO"	"D1,D2,D3,D4"	4	"ATP5PO-1"	"ATP5PO-2"	"NTC-256"	"NTC-656"	0.581620839593091	0.571921994754525	1.15354283434762	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000256269"	"HMBS"	"D1,D2,D3,D4"	4	"HMBS-1"	"HMBS-2"	"NTC-297"	"NTC-656"	0.557526984494186	0.595274479044356	1.15280146353854	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000274523"	"RCC1L"	"D1,D2,D3,D4"	4	"RCC1L-1"	"RCC1L-2"	"NTC-249"	"NTC-831"	0.543560420129365	0.580019637963436	1.1235800580928	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
