"regulator_ensg"	"regulator_symbol"	"paired_donor_set"	"paired_donors"	"case_guide_A"	"case_guide_B"	"cal_guide_A"	"cal_guide_B"	"distance_A"	"distance_B"	"total_score"	"feasible_unordered_pairs"	"feasible_ordered_pairs"	"cal_selection_status"	"target_or_expression_values_used"	"methods_config_sha256"	"amendment_sha256"	"case_support_sha256"	"ntc_support_sha256"
"ENSG00000156804"	"FBXO32"	"D1,D2,D3,D4"	4	"FBXO32-1"	"FBXO32-2"	"NTC-138"	"NTC-793"	0.558705749265374	0.733697228103994	1.29240297736937	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000156983"	"BRPF1"	"D1,D2,D3,D4"	4	"BRPF1-1"	"BRPF1-2"	"NTC-346"	"NTC-129"	0.548383550736967	0.460622617539284	1.00900616827625	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000157106"	"SMG1"	"D2,D3,D4"	3	"SMG1-1"	"SMG1-2"	"NTC-656"	"NTC-249"	0.531493693070429	0.567619035894122	1.09911272896455	11591	23182	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000157212"	"PAXIP1"	"D2,D3,D4"	3	"PAXIP1-1"	"PAXIP1-2"	"NTC-927"	"NTC-543"	0.55263845489865	0.505774321844824	1.05841277674347	11591	23182	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000158195"	"WASF2"	"D2,D3,D4"	3	"WASF2-1"	"WASF2-2"	"NTC-078"	"NTC-198"	0.467057999293417	0.512258276953424	0.979316276246841	11591	23182	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000159063"	"ALG8"	"D1,D2,D3,D4"	4	"ALG8-1"	"ALG8-2"	"NTC-964"	"NTC-426"	0.520143571618482	0.524525654780264	1.04466922639875	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000160199"	"PKNOX1"	"D2,D3,D4"	3	"PKNOX1-1"	"PKNOX1-2"	"NTC-022"	"NTC-847"	0.54833554755473	0.515860243089976	1.06419579064471	11591	23182	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000161654"	"LSM12"	"D1,D2,D4"	3	"LSM12-1"	"LSM12-2"	"NTC-039"	"NTC-942"	0.445402519322739	0.462604737810653	0.908007257133392	17174	34348	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000162063"	"CCNF"	"D1,D2,D3,D4"	4	"CCNF-1"	"CCNF-2"	"NTC-989"	"NTC-138"	0.512837004607165	0.526625425517704	1.03946243012487	9958	19916	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
"ENSG00000162227"	"TAF6L"	"D1,D3,D4"	3	"TAF6L-1"	"TAF6L-2"	"NTC-367"	"NTC-890"	0.448125378689759	0.529262236113878	0.977387614803637	15589	31178	"FIXED_PREOUTCOME_K1"	FALSE	"171992cf0c2a40eb19a4bb206ba84a5db0ef2780818561d5986199607ea37fe4"	"dde9b2fb0353bc60fcbd6bc2998b6e9e98bfb59409f59fc606a6acef4039b6f1"	"1955afd3c66c0adbb8a6d8a73e9aebd2eba41ecfe9640ab5d612713cf6f6b8ab"	"936b7a8579a900caeb1e7ece74ebaa019b3d4492e86a3107756dc8a049fb4588"
