gene,role,n_inverted_edges,in_candidate_617,dgidb_recognized,dgidb_functional_class,druggable_genome,clinically_actionable,has_drug_interaction,has_approved_drug,n_distinct_drugs,n_approved_drugs,example_drugs,is_reversal_regulator,is_stable_only,is_top20_inverter,n_distinct_reversal_regulators
PMAIP1,convergent_target,0,False,True,Other/unclassified,False,True,True,True,1,1,BORTEZOMIB,,,,6.0
PPP1R15A,convergent_target,0,False,True,Kinase,False,True,False,False,0,0,,,,,6.0
PPP1R16B,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,5.0
PSAT1,convergent_target,0,False,True,Enzyme,False,False,False,False,0,0,,,,,6.0
PSMB9,convergent_target,0,True,True,Protease,True,False,True,True,6,4,BORTEZOMIB|CARFILZOMIB|IXAZOMIB|IXAZOMIB CITRATE,,,,5.0
PSME1,convergent_target,0,False,True,Other/unclassified,False,False,True,True,2,2,BORTEZOMIB|CARFILZOMIB,,,,18.0
PSME2,convergent_target,0,False,True,Other/unclassified,False,False,True,True,2,2,BORTEZOMIB|CARFILZOMIB,,,,6.0
PTPN22,convergent_target,0,False,True,Kinase,True,True,True,True,10,3,AMOXICILLIN ANHYDROUS|CLAVULANIC ACID|SUCCIMER,,,,7.0
RAB11FIP1,convergent_target,0,True,False,Other/unclassified,False,False,False,False,0,0,,,,,6.0
RANBP9,convergent_target,0,False,True,Kinase,False,False,False,False,0,0,,,,,7.0
RASSF3,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,8.0
RELL1,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,7.0
RHOB,convergent_target,0,False,True,Other/unclassified,False,False,True,True,9,3,ALPROSTADIL|DINOPROSTONE|PROGESTERONE,,,,5.0
S100A10,convergent_target,0,False,True,Kinase,False,False,True,True,2,1,DEXAMETHASONE,,,,6.0
SAMSN1,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,6.0
SDCBP,convergent_target,0,False,True,Transcription factor,False,False,False,False,0,0,,,,,6.0
SESN2,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,6.0
SH3BP5,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,5.0
SLA,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,6.0
SLC1A5,convergent_target,0,False,True,Transporter,False,False,True,True,1,1,GLUTAMINE,,,,7.0
SLC38A2,convergent_target,0,False,True,Transporter,False,False,True,True,1,1,ALANINE,,,,8.0
SLC3A2,convergent_target,0,False,True,Transporter,True,False,True,False,1,0,IGN523,,,,9.0
SLC7A11,convergent_target,0,False,True,Transporter,False,False,True,True,1,1,RILUZOLE,,,,7.0
SLC7A5,convergent_target,0,False,True,Transporter,True,False,True,True,2,2,GABAPENTIN|MELPHALAN,,,,5.0
SPIN1,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,5.0
SPRY1,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,7.0
SPSB1,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,6.0
SRGN,convergent_target,0,False,True,Enzyme,True,False,True,True,1,1,HEPARIN,,,,9.0
STAP1,convergent_target,0,False,True,Kinase,False,False,False,False,0,0,,,,,5.0
STK17B,convergent_target,0,False,True,Kinase,True,False,False,False,0,0,,,,,8.0
SUSD6,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,5.0
SYTL3,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,5.0
TACC3,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,6.0
TAP1,convergent_target,0,False,True,Transporter,False,True,True,False,0,0,,,,,6.0
TES,convergent_target,0,False,True,Transcription factor,False,False,False,False,0,0,,,,,5.0
TK1,convergent_target,0,False,True,Kinase,True,False,True,True,6,2,PENCICLOVIR|ZIDOVUDINE,,,,6.0
TLE5,convergent_target,0,False,True,Other/unclassified,False,False,True,True,11,1,SUCCINIC ACID,,,,8.0
TMSB10,convergent_target,0,False,True,Other/unclassified,False,False,True,True,3,1,MELATONIN,,,,8.0
TNFSF14,convergent_target,0,False,True,Other/unclassified,True,False,True,False,2,0,BAMINERCEPT ALFA|QUISOVALIMAB,,,,5.0
TRAF3IP3,convergent_target,0,False,True,Kinase,False,False,False,False,0,0,,,,,7.0
TRIB3,convergent_target,0,False,True,Kinase,True,False,True,True,3,3,INDAPAMIDE|METHYLPHENIDATE HYDROCHLORIDE|PERINDOPRIL,,,,5.0
TRIM22,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,7.0
TRUB1,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,6.0
TXNRD1,convergent_target,0,False,True,Other/unclassified,True,False,True,True,6,3,ARSENIC TRIOXIDE|ASCORBIC ACID|AUROTHIOGLUCOSE,,,,5.0
UXT,convergent_target,0,False,False,Other/unclassified,False,False,False,False,0,0,,,,,6.0
WIPI1,convergent_target,0,False,True,Kinase,False,False,False,False,0,0,,,,,6.0
